Jurisdiction,Fire size class,Year,Number null
Manitoba,1.1 - 10 ha,2008,85
Manitoba,0.11 - 1.0 ha,2008,136
Manitoba,Up to 0.1 ha,2008,100
Manitoba,1000.1 - 10 000 ha,2007,14
Manitoba,10 000.1 - 100 000 ha,2007,9
Manitoba,100.1 - 1 000 ha,2007,18
Manitoba,10.1 - 100 ha,2007,31
Manitoba,1.1 - 10 ha,2007,77
Manitoba,0.11 - 1.0 ha,2007,123
Manitoba,Up to 0.1 ha,2007,111
Manitoba,1000.1 - 10 000 ha,2006,22
Manitoba,10 000.1 - 100 000 ha,2006,5
Manitoba,100.1 - 1 000 ha,2006,23
Manitoba,10.1 - 100 ha,2006,43
Manitoba,1.1 - 10 ha,2006,100
Manitoba,0.11 - 1.0 ha,2006,236
Manitoba,Up to 0.1 ha,2006,255
Manitoba,1000.1 - 10 000 ha,2005,13
Manitoba,10 000.1 - 100 000 ha,2005,1
Manitoba,100.1 - 1 000 ha,2005,19
Manitoba,10.1 - 100 ha,2005,17
Manitoba,1.1 - 10 ha,2005,65
Manitoba,0.11 - 1.0 ha,2005,78
Manitoba,Up to 0.1 ha,2005,61
Manitoba,1000.1 - 10 000 ha,2004,6
Manitoba,100.1 - 1 000 ha,2004,23
Manitoba,10.1 - 100 ha,2004,15
Manitoba,1.1 - 10 ha,2004,12
Manitoba,Up to 0.1 ha,2004,1
Manitoba,1000.1 - 10 000 ha,2003,57
Manitoba,10 000.1 - 100 000 ha,2003,23
Manitoba,100.1 - 1 000 ha,2003,57
Manitoba,10.1 - 100 ha,2003,204
Manitoba,1.1 - 10 ha,2003,313
Manitoba,0.11 - 1.0 ha,2003,555
Manitoba,1000.1 - 10 000 ha,2002,17
Manitoba,10 000.1 - 100 000 ha,2002,2
Manitoba,100.1 - 1 000 ha,2002,39
Manitoba,10.1 - 100 ha,2002,106
Manitoba,1.1 - 10 ha,2002,258
Manitoba,0.11 - 1.0 ha,2002,338
Manitoba,1000.1 - 10 000 ha,2001,20
Manitoba,100.1 - 1 000 ha,2001,35
Manitoba,10.1 - 100 ha,2001,60
Manitoba,1.1 - 10 ha,2001,202
Manitoba,0.11 - 1.0 ha,2001,215
Manitoba,Up to 0.1 ha,2001,1
Manitoba,1000.1 - 10 000 ha,2000,15
Manitoba,10 000.1 - 100 000 ha,2000,2
Manitoba,100.1 - 1 000 ha,2000,24
Manitoba,10.1 - 100 ha,2000,47
Manitoba,1.1 - 10 ha,2000,121
Manitoba,0.11 - 1.0 ha,2000,148
Manitoba,1000.1 - 10 000 ha,1999,15
Manitoba,10 000.1 - 100 000 ha,1999,3
Manitoba,100.1 - 1 000 ha,1999,46
Manitoba,10.1 - 100 ha,1999,72
Manitoba,1.1 - 10 ha,1999,182
Manitoba,0.11 - 1.0 ha,1999,169
Manitoba,Up to 0.1 ha,1999,126
Manitoba,Over 100 000 ha,1998,1
Manitoba,1000.1 - 10 000 ha,1998,18
Manitoba,10 000.1 - 100 000 ha,1998,8
Manitoba,100.1 - 1 000 ha,1998,25
Manitoba,10.1 - 100 ha,1998,78
Manitoba,1.1 - 10 ha,1998,151
Manitoba,0.11 - 1.0 ha,1998,132
Manitoba,Up to 0.1 ha,1998,103
Manitoba,1000.1 - 10 000 ha,1997,8
Manitoba,100.1 - 1 000 ha,1997,24
Manitoba,10.1 - 100 ha,1997,54
Manitoba,1.1 - 10 ha,1997,92
Manitoba,0.11 - 1.0 ha,1997,130
Manitoba,Up to 0.1 ha,1997,65
Manitoba,1000.1 - 10 000 ha,1996,20
Manitoba,10 000.1 - 100 000 ha,1996,3
Manitoba,100.1 - 1 000 ha,1996,26
Manitoba,10.1 - 100 ha,1996,60
Manitoba,1.1 - 10 ha,1996,113
Manitoba,0.11 - 1.0 ha,1996,119
Manitoba,Up to 0.1 ha,1996,83
Manitoba,1000.1 - 10 000 ha,1995,35
Manitoba,10 000.1 - 100 000 ha,1995,26
Manitoba,100.1 - 1 000 ha,1995,30
Manitoba,10.1 - 100 ha,1995,80
Manitoba,1.1 - 10 ha,1995,117
Manitoba,0.11 - 1.0 ha,1995,232
Manitoba,Up to 0.1 ha,1995,142
Manitoba,Over 100 000 ha,1994,4
Manitoba,1000.1 - 10 000 ha,1994,21
Manitoba,10 000.1 - 100 000 ha,1994,15
Manitoba,100.1 - 1 000 ha,1994,49
